approve,flag,title_ar,title_translit,author_en,author_ar,category_slug,size_mb,year,source_url
,possible-dupe,العذب النمير من مجالس الشنقيطي في التفسير - ط. مجمع الفقه,aladhb alnmyr mn mjals alshnqyty fy altfsyr t mjma alfqh,Muhammad al-Amin al-Shinqiti,محمد الأمين الشنقيطي,quran-studies,14.3,,https://waqfeya.net/books/العذب-النمير-من-مجالس-الشنقيطي-في-التفسير-ط-مجمع-الفقه-2550ed32e66448fa98dc7862a100ca73
x,ok,أضواء البيان في إيضاح القرآن بالقرآن - ط. مجمع الفقه,adwa albyan fy aydah alqran balqran t mjma alfqh,Muhammad al-Amin al-Shinqiti,محمد الأمين الشنقيطي,quran-studies,17.8,,https://waqfeya.net/books/أضواء-البيان-في-إيضاح-القرآن-بالقرآن-ط-مجمع-الفقه-ff2087e54da94ee885ac48a5f46ae4d0
x,ok,تفسير القرآن بالقرآن من أضواء البيان - ط. الفضيلة,tfsyr alqran balqran mn adwa albyan t alfdylh,Muhammad al-Amin al-Shinqiti,محمد الأمين الشنقيطي,quran-studies,51.2,,https://waqfeya.net/books/تفسير-القرآن-بالقرآن-من-أضواء-البيان-669e315719914903afb20b5f308c3f45
,possible-dupe,تيسير الكريم الرحمن في تفسير كلام المنان = تفسير السعدي - ط. دار السلام,tysyr alkrym alrhmn fy tfsyr klam almnan tfsyr alsady t dar alslam,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,43.2,,https://waqfeya.net/books/تيسير-الكريم-الرحمن-في-تفسير-كلام-المنان--تفسير-السعدي-ط-دار-السلام-2275f0a671a249c7ac00dfd7c5fc9c05
x,ok,تيسير الكريم الرحمن في تفسير كلام المنان = تفسير السعدي,tysyr alkrym alrhmn fy tfsyr klam almnan tfsyr alsady,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,42,,https://waqfeya.net/books/تيسير-الكريم-الرحمن-في-تفسير-كلام-المنان--تفسير-السعدي-5c4921e3a8744317a0bd19af5567d4e1
x,ok,تيسير الكريم الرحمن في تفسير كلام المنان = تفسير السعدي - ط. ابن الجوزي,tysyr alkrym alrhmn fy tfsyr klam almnan tfsyr alsady t abn aljwzy,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,53.8,,https://waqfeya.net/books/تيسير-الكريم-الرحمن-في-تفسير-كلام-المنان--تفسير-السعدي-ط-ابن-الجوزي-bc94c36477dd4bac85c3b569fc16c1ce
x,ok,تيسير الكريم الرحمن في تفسير كلام المنان = تفسير السعدي - ط. الحديث,tysyr alkrym alrhmn fy tfsyr klam almnan tfsyr alsady t alhdyth,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,37.8,,https://waqfeya.net/books/تيسير-الكريم-الرحمن-في-تفسير-كلام-المنان--تفسير-السعدي-ط-الحديث-d03121f6dfe145758e0a4526d3406a3b
x,ok,تفسير القرآن العظيم - تفسير ابن كثير - ط. العلمية,tfsyr alqran alazym tfsyr abn kthyr t alalmyh,Ibn Kathir,ابن كثير,quran-studies,13.7,,https://waqfeya.net/books/تفسير-القرآن-العظيم-تفسير-ابن-كثير-ط-العلمية-15d7ee35e95d4bc28f3f4b89da402e55
x,ok,فتح البيان في مقاصد القرآن,fth albyan fy mqasd alqran,Siddiq Hasan Khan,صديق حسن خان,quran-studies,9.2,,https://waqfeya.net/books/فتح-البيان-في-مقاصد-القرآن-ddab41c514b44086b8f760483ce13d62
x,ok,تفسيرات شيخ الإسلام ابن تيمية,tfsyrat shykh alaslam abn tymyh,Ibn Taymiyyah,ابن تيمية,quran-studies,8,,https://waqfeya.net/books/تفسيرات-شيخ-الإسلام-ابن-تيمية-dbc04c3e953a41eb8ccf58ff15e8b8f8
x,ok,تفسير قوله تعالى: قل للمؤمنين يغضوا من أبصارهم,tfsyr qwlh taaly ql llmwmnyn yghdwa mn absarhm,Ibn Taymiyyah,ابن تيمية,quran-studies,0.8,,https://waqfeya.net/books/تفسير-قوله-تعالى-قل-للمؤمنين-يغضوا-من-أبصارهم-602abc72ba154c0985f20e93435e29f3
x,ok,تفسير المعوذتين,tfsyr almawdhtyn,Ibn Taymiyyah,ابن تيمية,quran-studies,0.5,,https://waqfeya.net/books/تفسير-المعوذتين-498ee3624d304bee8def69b8477e9916
